retailer,product_name,status,last_checked,notes
Target,Thigh Rescue Mini,,,
Target,Thigh Rescue,,,
Target,Apres Shave Mini 1.7oz,,,
Target,Rosy Pits,,,
Target,Blade Bar,,,
Target,Smoothie Deo,,,
Target,Bust Dust,,,
Target,Geo Deo,,,
Target,Body Dust,,,
Target,Space Bar,,,
Target,Beachy Pits,,,
Target,Sunny Pits,,,
Target,Happy Pits,,,
Target,Soapy Pits,,,
Target,Magic Powder,,,
Target,Green Deo,,,
Target,Night Rescue,,,
Target,Glow Deo,,,
Target,Toe Deo,,,
Target,Dust Puff,,,
Target,Chest-o Presto,,,
Target,Apres Shave 3oz,,,
Walmart,Thigh Rescue,,,
Walmart,Apres Shave,,,
Walmart,Bust Dust,,,
Walmart,Bidet Bar,,,
Walmart,Body Dust,,,
Walmart,Smoothie Deo,,,
Walmart,Rosy Pits,,,
Walmart,Geo Deo,,,
Walmart,Toe Deo,,,
Walmart,Santal Deo,,,
Walmart,Space Bar,,,
Walmart,Blade Bar,,,
ASOS,Thigh Rescue,,,
ASOS,Thigh Rescue Mini,,,
ASOS,Night Rescue,,,
ASOS,Body Dust,,,
ASOS,Rosy Pits,,,
ASOS,Rosy Pits Mini,,,
ASOS,Shower Sheets,,,
ASOS,Megafresh Wipes,,,
ASOS,Happy Pits,,,
ASOS,Space Bar,,,
ASOS,Smoothie Deo,,,
ASOS,Le Tush,,,
ASOS,Cream Deo,,,
ASOS,Bust Dust,,,
ASOS,Body Dust Mini,,,
ASOS,Dust Puff,,,
ASOS,Unscented Thigh Rescue,,,
ASOS,Coco Deo,,,
